id,name,category,price,stock
406,toys-406,toys,81.96,459
407,food-407,food,90.39,90
408,electronics-408,electronics,48.31,331
409,clothing-409,clothing,74.52,8
410,books-410,books,50.65,465
411,home-411,home,79.47,300
412,toys-412,toys,73.61,7
413,food-413,food,13.23,115
414,electronics-414,electronics,37.86,76
415,clothing-415,clothing,95.19,356
416,books-416,books,51.15,356
417,home-417,home,24.03,417
418,toys-418,toys,45.70,339
419,food-419,food,53.58,166
420,electronics-420,electronics,12.01,299
421,clothing-421,clothing,65.46,116
422,books-422,books,87.01,193
423,home-423,home,50.37,191
424,toys-424,toys,34.39,316
425,food-425,food,58.11,272
426,electronics-426,electronics,79.63,234
427,clothing-427,clothing,47.83,490
428,books-428,books,66.82,262
429,home-429,home,17.32,415
430,toys-430,toys,9.95,210
431,food-431,food,91.85,153
432,electronics-432,electronics,3.02,369
433,clothing-433,clothing,51.49,448
434,books-434,books,48.16,233
435,home-435,home,65.44,3
436,toys-436,toys,38.00,61
437,food-437,food,95.19,112
438,electronics-438,electronics,73.41,122
439,clothing-439,clothing,32.28,108
440,books-440,books,17.81,96
441,home-441,home,79.49,81
442,toys-442,toys,45.96,200
443,food-443,food,8.36,398
444,electronics-444,electronics,79.15,373
445,clothing-445,clothing,8.69,343
446,books-446,books,19.95,224
447,home-447,home,16.63,303
448,toys-448,toys,96.28,164
449,food-449,food,60.29,12
450,electronics-450,electronics,75.87,85
451,clothing-451,clothing,94.46,29
452,books-452,books,87.27,333
453,home-453,home,44.90,100
454,toys-454,toys,8.63,123
455,food-455,food,16.81,45
456,electronics-456,electronics,6.26,155
457,clothing-457,clothing,76.72,409
458,books-458,books,92.80,157
459,home-459,home,33.15,246
460,toys-460,toys,78.36,486
461,food-461,food,95.00,482
462,electronics-462,electronics,11.84,454
463,clothing-463,clothing,71.34,468
464,books-464,books,67.58,134
465,home-465,home,11.13,188
466,toys-466,toys,54.65,296
467,food-467,food,66.89,480
468,electronics-468,electronics,76.81,106
469,clothing-469,clothing,92.28,97
470,books-470,books,93.35,313
471,home-471,home,62.41,232
472,toys-472,toys,21.94,480
473,food-473,food,66.59,267
474,electronics-474,electronics,62.51,175
475,clothing-475,clothing,97.38,346
476,books-476,books,76.80,374
477,home-477,home,4.41,88
478,toys-478,toys,60.37,361
479,food-479,food,54.43,167
480,electronics-480,electronics,79.70,417
481,clothing-481,clothing,76.47,211
482,books-482,books,34.48,354
483,home-483,home,3.36,187
484,toys-484,toys,32.09,298
485,food-485,food,76.87,477
486,electronics-486,electronics,74.35,137
487,clothing-487,clothing,85.53,338
488,books-488,books,21.61,319
489,home-489,home,54.49,103
490,toys-490,toys,79.49,242
491,food-491,food,82.87,294
492,electronics-492,electronics,42.35,494
493,clothing-493,clothing,11.76,424
494,books-494,books,5.51,100
495,home-495,home,29.24,362
496,toys-496,toys,80.43,424
497,food-497,food,87.96,328
498,electronics-498,electronics,49.74,335
499,clothing-499,clothing,95.52,221
500,books-500,books,89.40,231
501,home-501,home,1.62,313
502,toys-502,toys,62.66,326
503,food-503,food,28.57,114
504,electronics-504,electronics,41.17,492
505,clothing-505,clothing,55.93,266
506,books-506,books,38.24,357
507,home-507,home,57.95,250
508,toys-508,toys,47.05,374
509,food-509,food,19.18,91
510,electronics-510,electronics,7.49,337
511,clothing-511,clothing,2.49,221
512,books-512,books,65.92,165
513,home-513,home,56.34,39
514,toys-514,toys,12.92,492
515,food-515,food,2.43,361
516,electronics-516,electronics,83.05,359
517,clothing-517,clothing,2.94,349
518,books-518,books,54.81,193
519,home-519,home,65.13,267
520,toys-520,toys,28.85,310
521,food-521,food,70.14,408
522,electronics-522,electronics,48.16,329
523,clothing-523,clothing,38.52,261
524,books-524,books,70.36,204
525,home-525,home,91.82,380
526,toys-526,toys,79.83,273
527,food-527,food,38.43,398
528,electronics-528,electronics,57.60,65
529,clothing-529,clothing,12.07,388
530,books-530,books,30.18,129
531,home-531,home,68.09,264
532,toys-532,toys,16.23,113
533,food-533,food,33.33,483
534,electronics-534,electronics,47.67,156
535,clothing-535,clothing,40.74,232
536,books-536,books,88.32,229
537,home-537,home,13.12,240
538,toys-538,toys,52.86,494
539,food-539,food,77.45,106
540,electronics-540,electronics,54.14,31
541,clothing-541,clothing,46.99,80
542,books-542,books,81.80,463
543,home-543,home,65.06,481
544,toys-544,toys,20.59,39
545,food-545,food,44.63,197
546,electronics-546,electronics,50.56,35
547,clothing-547,clothing,72.30,84
548,books-548,books,17.30,277
549,home-549,home,44.76,142
550,toys-550,toys,35.97,468
551,food-551,food,96.28,129
552,electronics-552,electronics,89.58,332
553,clothing-553,clothing,26.55,85
554,books-554,books,94.83,337
555,home-555,home,22.48,126
556,toys-556,toys,35.48,232
557,food-557,food,67.27,362
558,electronics-558,electronics,88.88,38
559,clothing-559,clothing,52.55,110
560,books-560,books,17.63,257
561,home-561,home,93.08,144
562,toys-562,toys,49.55,204
563,food-563,food,34.25,370
564,electronics-564,electronics,63.86,487
565,clothing-565,clothing,95.27,473
566,books-566,books,58.05,50
567,home-567,home,55.65,498
568,toys-568,toys,0.96,382
569,food-569,food,1.74,134
570,electronics-570,electronics,0.68,200
571,clothing-571,clothing,53.48,470
572,books-572,books,18.94,302
573,home-573,home,70.56,126
574,toys-574,toys,35.83,393
575,food-575,food,70.54,107
576,electronics-576,electronics,82.97,388
577,clothing-577,clothing,5.70,309
578,books-578,books,55.85,247
579,home-579,home,10.34,91
580,toys-580,toys,92.44,304
581,food-581,food,31.21,72
582,electronics-582,electronics,49.96,94
583,clothing-583,clothing,45.09,322
584,books-584,books,57.45,356
585,home-585,home,60.20,410
586,toys-586,toys,67.12,46
587,food-587,food,90.41,399
588,electronics-588,electronics,57.04,97
589,clothing-589,clothing,68.73,396
590,books-590,books,45.19,426
591,home-591,home,32.06,366
592,toys-592,toys,86.51,66
593,food-593,food,57.34,162
594,electronics-594,electronics,60.52,109
595,clothing-595,clothing,53.53,290
596,books-596,books,43.47,252
597,home-597,home,21.66,319
598,toys-598,toys,33.65,16
599,food-599,food,90.19,32
600,electronics-600,electronics,61.92,476
601,clothing-601,clothing,33.91,184
602,books-602,books,15.99,287
603,home-603,home,94.59,126
604,toys-604,toys,99.81,9
605,food-605,food,91.54,225
606,electronics-606,electronics,48.89,225
607,clothing-607,clothing,91.25,15
608,books-608,books,3.53,458
609,home-609,home,92.45,200
610,toys-610,toys,66.52,429
611,food-611,food,19.66,253
612,electronics-612,electronics,53.34,237
613,clothing-613,clothing,88.84,139
614,books-614,books,60.15,78
615,home-615,home,43.31,255
616,toys-616,toys,79.70,372
617,food-617,food,37.53,241
618,electronics-618,electronics,71.58,427
619,clothing-619,clothing,28.20,316
620,books-620,books,95.92,278
621,home-621,home,99.12,355
622,toys-622,toys,29.70,23
623,food-623,food,80.54,156
624,electronics-624,electronics,13.61,66
625,clothing-625,clothing,1.03,99
626,books-626,books,43.40,142
627,home-627,home,27.65,268
628,toys-628,toys,45.56,315
629,food-629,food,84.94,6
630,electronics-630,electronics,22.40,367
631,clothing-631,clothing,60.59,480
632,books-632,books,98.66,361
633,home-633,home,64.16,73
634,toys-634,toys,20.16,286
635,food-635,food,67.51,449
636,electronics-636,electronics,85.76,83
637,clothing-637,clothing,21.83,376
638,books-638,books,73.35,345
639,home-639,home,47.54,137
640,toys-640,toys,73.07,26
641,food-641,food,11.35,304
642,electronics-642,electronics,97.68,400
643,clothing-643,clothing,95.54,215
644,books-644,books,64.28,323
645,home-645,home,66.58,112
646,toys-646,toys,68.93,324
647,food-647,food,89.01,410
648,electronics-648,electronics,92.01,140
649,clothing-649,clothing,53.82,456
650,books-650,books,95.14,444
651,home-651,home,92.87,94
652,toys-652,toys,54.30,1
653,food-653,food,53.52,297
654,electronics-654,electronics,66.04,217
655,clothing-655,clothing,91.07,76
656,books-656,books,43.53,399
657,home-657,home,88.28,41
658,toys-658,toys,54.72,287
659,food-659,food,65.18,338
660,electronics-660,electronics,51.30,121
661,clothing-661,clothing,34.21,69
662,books-662,books,69.17,392
663,home-663,home,93.21,451
664,toys-664,toys,29.50,391
665,food-665,food,20.72,281
666,electronics-666,electronics,49.01,71
667,clothing-667,clothing,38.41,353
668,books-668,books,54.14,235
669,home-669,home,91.06,301
670,toys-670,toys,24.54,236
671,food-671,food,4.02,375
672,electronics-672,electronics,80.83,294
673,clothing-673,clothing,14.64,29
674,books-674,books,29.76,295
675,home-675,home,55.38,368
676,toys-676,toys,22.33,427
677,food-677,food,4.50,173
678,electronics-678,electronics,3.67,413
679,clothing-679,clothing,32.11,89
680,books-680,books,90.75,356
681,home-681,home,97.11,364
682,toys-682,toys,86.08,300
683,food-683,food,9.93,94
684,electronics-684,electronics,59.32,245
685,clothing-685,clothing,38.89,9
686,books-686,books,38.33,492
687,home-687,home,70.75,258
688,toys-688,toys,1.18,95
689,food-689,food,91.95,38
690,electronics-690,electronics,1.41,224
691,clothing-691,clothing,40.70,153
692,books-692,books,32.00,407
693,home-693,home,70.95,130
694,toys-694,toys,32.96,351
695,food-695,food,49.70,331
696,electronics-696,electronics,64.31,153
697,clothing-697,clothing,66.60,203
698,books-698,books,86.53,498
699,home-699,home,20.99,466
700,toys-700,toys,65.36,389
701,food-701,food,98.95,493
702,electronics-702,electronics,14.71,293
703,clothing-703,clothing,55.63,132
704,books-704,books,63.67,465
705,home-705,home,22.75,315
706,toys-706,toys,7.06,111
707,food-707,food,76.99,82
708,electronics-708,electronics,32.49,72
709,clothing-709,clothing,75.26,132
710,books-710,books,9.98,33
711,home-711,home,31.84,438
712,toys-712,toys,60.01,408
713,food-713,food,15.95,143
714,electronics-714,electronics,5.32,424
715,clothing-715,clothing,10.31,265
716,books-716,books,70.69,75
717,home-717,home,93.64,60
718,toys-718,toys,28.13,92
719,food-719,food,38.20,392
720,electronics-720,electronics,51.04,346
721,clothing-721,clothing,26.88,93
722,books-722,books,52.69,45
723,home-723,home,8.78,336
724,toys-724,toys,98.84,337
725,food-725,food,8.89,222
726,electronics-726,electronics,38.26,447
727,clothing-727,clothing,11.84,249
728,books-728,books,49.29,272
729,home-729,home,40.18,291
730,toys-730,toys,32.97,416
731,food-731,food,6.67,365
732,electronics-732,electronics,59.09,109
733,clothing-733,clothing,17.05,6
734,books-734,books,32.98,181
735,home-735,home,42.01,136
736,toys-736,toys,72.44,72
737,food-737,food,76.97,418
738,electronics-738,electronics,80.73,310
739,clothing-739,clothing,81.17,372
740,books-740,books,87.79,51
741,home-741,home,32.07,206
742,toys-742,toys,98.39,92
743,food-743,food,58.41,105
744,electronics-744,electronics,18.52,47
745,clothing-745,clothing,22.75,377
746,books-746,books,71.26,302
747,home-747,home,86.44,124
748,toys-748,toys,77.36,367
749,food-749,food,19.40,16
750,electronics-750,electronics,70.53,131
751,clothing-751,clothing,15.35,405
752,books-752,books,73.77,67
753,home-753,home,8.19,67
754,toys-754,toys,75.54,346
755,food-755,food,23.51,323
756,electronics-756,electronics,95.95,475
757,clothing-757,clothing,98.28,428
758,books-758,books,53.20,144
759,home-759,home,36.49,228
760,toys-760,toys,42.38,144
761,food-761,food,16.11,300
762,electronics-762,electronics,3.93,173
763,clothing-763,clothing,13.90,389
764,books-764,books,70.79,207
765,home-765,home,12.24,127
766,toys-766,toys,17.50,342
767,food-767,food,27.81,83
768,electronics-768,electronics,12.37,406
769,clothing-769,clothing,84.17,488
770,books-770,books,82.30,472
771,home-771,home,5.23,75
772,toys-772,toys,33.44,72
773,food-773,food,96.94,391
774,electronics-774,electronics,53.76,468
775,clothing-775,clothing,15.61,177
776,books-776,books,40.21,400
777,home-777,home,32.15,268
778,toys-778,toys,96.24,108
779,food-779,food,60.88,200
780,electronics-780,electronics,87.74,10
781,clothing-781,clothing,55.56,441
782,books-782,books,17.57,450
783,home-783,home,64.34,112
784,toys-784,toys,25.13,31
785,food-785,food,37.00,479
786,electronics-786,electronics,44.36,472
787,clothing-787,clothing,85.89,45
788,books-788,books,62.84,431
789,home-789,home,98.09,330
790,toys-790,toys,36.83,172
791,food-791,food,46.30,104
792,electronics-792,electronics,67.46,243
793,clothing-793,clothing,59.03,461
794,books-794,books,42.17,481
795,home-795,home,74.04,179
796,toys-796,toys,19.30,96
797,food-797,food,58.18,208
798,electronics-798,electronics,90.02,238
799,clothing-799,clothing,15.91,172
800,books-800,books,14.68,381
801,home-801,home,12.25,335
802,toys-802,toys,44.94,335
803,food-803,food,43.15,423
804,electronics-804,electronics,99.50,52
805,clothing-805,clothing,24.60,477
806,books-806,books,59.01,214
807,home-807,home,42.66,206
808,toys-808,toys,20.09,251
809,food-809,food,36.34,110
810,electronics-810,electronics,54.51,185
811,clothing-811,clothing,87.15,98
812,books-812,books,83.23,156
813,home-813,home,8.39,180
814,toys-814,toys,36.62,209
815,food-815,food,6.16,245
816,electronics-816,electronics,23.65,342
817,clothing-817,clothing,51.44,297
818,books-818,books,98.44,190
819,home-819,home,53.04,377
820,toys-820,toys,49.08,78
821,food-821,food,94.95,276
822,electronics-822,electronics,45.15,181
823,clothing-823,clothing,64.24,111
824,books-824,books,37.73,174
825,home-825,home,74.42,148
826,toys-826,toys,45.65,192
827,food-827,food,51.01,16
828,electronics-828,electronics,70.66,177
829,clothing-829,clothing,34.74,297
830,books-830,books,8.64,303
831,home-831,home,86.45,345
832,toys-832,toys,43.68,405
833,food-833,food,40.96,275
834,electronics-834,electronics,40.45,222
835,clothing-835,clothing,4.24,392
836,books-836,books,37.06,5
837,home-837,home,76.69,409
838,toys-838,toys,93.81,30
839,food-839,food,25.12,234
840,electronics-840,electronics,35.90,287
841,clothing-841,clothing,37.47,123
842,books-842,books,74.83,437
843,home-843,home,74.05,62
844,toys-844,toys,60.18,79
845,food-845,food,27.52,159
846,electronics-846,electronics,51.16,142
847,clothing-847,clothing,43.28,493
848,books-848,books,87.23,91
849,home-849,home,34.21,228
850,toys-850,toys,2.86,460
851,food-851,food,92.35,303
852,electronics-852,electronics,91.41,308
853,clothing-853,clothing,22.02,228
854,books-854,books,89.31,448
855,home-855,home,11.26,394
856,toys-856,toys,36.55,495
857,food-857,food,8.51,406
858,electronics-858,electronics,67.70,483
859,clothing-859,clothing,84.31,317
860,books-860,books,35.35,39
861,home-861,home,25.62,213
862,toys-862,toys,83.87,38
863,food-863,food,14.93,66
864,electronics-864,electronics,38.82,320
865,clothing-865,clothing,15.12,331
866,books-866,books,69.54,426
867,home-867,home,17.68,74
868,toys-868,toys,49.64,67
869,food-869,food,6.07,25
870,electronics-870,electronics,66.97,188
871,clothing-871,clothing,9.42,88
872,books-872,books,17.65,481
873,home-873,home,72.21,63
874,toys-874,toys,12.83,348
875,food-875,food,98.57,176
876,electronics-876,electronics,81.79,71
877,clothing-877,clothing,67.36,316
878,books-878,books,99.97,258
879,home-879,home,11.73,326
880,toys-880,toys,83.11,47
881,food-881,food,70.16,77
882,electronics-882,electronics,78.93,335
883,clothing-883,clothing,74.71,453
884,books-884,books,72.43,223
885,home-885,home,99.17,430
886,toys-886,toys,58.61,77
887,food-887,food,29.07,190
888,electronics-888,electronics,18.31,223
889,clothing-889,clothing,94.65,484
890,books-890,books,20.76,408
891,home-891,home,47.88,273
892,toys-892,toys,3.55,464
